Flight Details,Flow Card?,Bags Checked,Meal Type,Date,Flight Number,Class,Price,From,To
2024-07-22//PA010//Tokyo-New York//Economy//2380,Yes,0,Egg Free,2024-07-22,PA010,Economy,2380.0,Tokyo,New York
2024-04-20//PA002//New York-London//Economy//3490,Yes,1,Vegan,2024-04-20,PA002,Economy,3490.0,New York,London
2024-01-23//PA010//Tokyo-New York//Premium Economy//825,Yes,1,Vegetarian,2024-01-23,PA010,Premium Economy,825.0,Tokyo,New York
2024-06-05//PA006//Tokyo-London//First Class//618,Yes,3,Vegan,2024-06-05,PA006,First Class,618.0,Tokyo,London
2024-03-30//PA004//Perth-London//First Class//446,Yes,1,Nut Free,2024-03-30,PA004,First Class,446.0,Perth,London
2024-06-14//PA006//Tokyo-London//Premium Economy//1062.5,Yes,3,Egg Free,2024-06-14,PA006,Premium Economy,1062.5,Tokyo,London
2024-07-15//PA006//Tokyo-London//First Class//499,Yes,1,Egg Free,2024-07-15,PA006,First Class,499.0,Tokyo,London
2024-02-25//PA004//Perth-London//Premium Economy//827.5,Yes,0,Vegetarian,2024-02-25,PA004,Premium Economy,827.5,Perth,London
2024-07-26//PA004//Perth-London//Economy//2245,Yes,1,Vegan,2024-07-26,PA004,Economy,2245.0,Perth,London
2024-12-10//PA004//Perth-London//Business Class//391.19999999999999,Yes,2,Vegetarian,2024-12-10,PA004,Business Class,391.2,Perth,London
2024-09-23//PA005//London-Tokyo//First Class//626,Yes,2,Vegetarian,2024-09-23,PA005,First Class,626.0,London,Tokyo
2024-06-04//PA006//Tokyo-London//First Class//537,Yes,2,Dairy Free,2024-06-04,PA006,First Class,537.0,Tokyo,London
2024-04-16//PA008//Perth-New York//First Class//216,Yes,0,Vegan,2024-04-16,PA008,First Class,216.0,Perth,New York
2024-06-21//PA004//Perth-London//Business Class//646.79999999999995,Yes,3,,2024-06-21,PA004,Business Class,646.8,Perth,London
2024-10-20//PA003//London-Perth//Economy//2215,Yes,3,Nut Free,2024-10-20,PA003,Economy,2215.0,London,Perth
2024-02-17//PA003//London-Perth//Business Class//784.79999999999995,Yes,3,Vegan,2024-02-17,PA003,Business Class,784.8,London,Perth
2024-05-28//PA005//London-Tokyo//Economy//1505,Yes,2,Dairy Free,2024-05-28,PA005,Economy,1505.0,London,Tokyo
2024-06-19//PA003//London-Perth//First Class//454,Yes,1,Dairy Free,2024-06-19,PA003,First Class,454.0,London,Perth
2024-02-11//PA012//Tokyo-Perth//Premium Economy//1142.5,Yes,3,Vegan,2024-02-11,PA012,Premium Economy,1142.5,Tokyo,Perth
