Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
28/09/2024,PA008,Perth,New York,Economy,1855.0,No,2,Vegetarian
01/10/2024,PA008,Perth,New York,Business Class,634.8,No,0,Vegetarian
04/03/2024,PA007,New York,Perth,Business Class,458.4,No,3,Nut Free
25/02/2024,PA010,Tokyo,New York,Premium Economy,1435.0,No,0,
29/03/2024,PA004,Perth,London,Economy,2730.0,No,2,Vegan
07/06/2024,PA005,London,Tokyo,Business Class,294.0,No,2,Egg Free
30/06/2024,PA009,New York,Tokyo,First Class,236.0,No,1,Vegetarian
12/08/2024,PA011,Perth,Tokyo,Economy,2570.0,No,2,Vegan
05/11/2024,PA010,Tokyo,New York,First Class,397.0,No,2,
19/03/2024,PA003,London,Perth,First Class,585.0,No,2,Egg Free
19/02/2024,PA011,Perth,Tokyo,Premium Economy,630.0,No,3,Nut Free
10/03/2024,PA011,Perth,Tokyo,Business Class,556.8,No,3,Dairy Free
21/12/2024,PA006,Tokyo,London,Business Class,307.2,No,3,Nut Free
18/12/2024,PA002,New York,London,Premium Economy,917.5,No,2,Dairy Free
16/06/2024,PA012,Tokyo,Perth,Business Class,555.6,No,1,Vegetarian
07/03/2024,PA006,Tokyo,London,Business Class,811.2,No,0,Egg Free
29/07/2024,PA008,Perth,New York,Economy,2225.0,No,0,Nut Free
04/07/2024,PA004,Perth,London,Economy,2705.0,No,0,Egg Free
06/01/2024,PA011,Perth,Tokyo,Premium Economy,632.5,No,1,Dairy Free
31/08/2024,PA012,Tokyo,Perth,Premium Economy,1207.5,No,2,Dairy Free
26/03/2024,PA008,Perth,New York,Business Class,484.8,No,2,Egg Free
17/11/2024,PA009,New York,Tokyo,First Class,578.0,No,2,Vegan
12/02/2024,PA010,Tokyo,New York,Premium Economy,842.5,No,2,Vegan
05/05/2024,PA012,Tokyo,Perth,Business Class,788.4,No,1,Egg Free
30/08/2024,PA005,London,Tokyo,First Class,417.0,No,2,Egg Free
24/12/2024,PA006,Tokyo,London,Premium Economy,1710.0,No,0,Vegan
19/05/2024,PA004,Perth,London,Business Class,811.2,No,1,Vegetarian
21/03/2024,PA002,New York,London,First Class,230.0,No,3,Nut Free
06/10/2024,PA001,London,New York,Business Class,349.2,No,2,
06/01/2024,PA008,Perth,New York,Premium Economy,820.0,No,3,
01/06/2024,PA006,Tokyo,London,First Class,416.0,No,2,Vegan
06/11/2024,PA001,London,New York,Business Class,546.0,No,1,Dairy Free
16/03/2024,PA011,Perth,Tokyo,Economy,3210.0,No,0,Nut Free
16/05/2024,PA009,New York,Tokyo,Economy,1540.0,No,3,Vegan
09/05/2024,PA012,Tokyo,Perth,Economy,3325.0,No,1,Egg Free
23/05/2024,PA004,Perth,London,Economy,3375.0,No,2,Vegan
18/12/2024,PA002,New York,London,Economy,2910.0,No,2,Egg Free
02/02/2024,PA012,Tokyo,Perth,Economy,3155.0,No,2,Egg Free
20/10/2024,PA002,New York,London,Premium Economy,1547.5,No,3,Egg Free
26/11/2024,PA006,Tokyo,London,Economy,1550.0,No,1,Egg Free
04/11/2024,PA008,Perth,New York,Business Class,764.4,No,0,Vegan
14/09/2024,PA003,London,Perth,Business Class,654.0,No,0,Vegan
17/03/2024,PA004,Perth,London,Premium Economy,1230.0,No,0,Dairy Free
31/12/2024,PA006,Tokyo,London,Business Class,783.6,No,1,Nut Free
13/05/2024,PA010,Tokyo,New York,First Class,493.0,No,3,Vegetarian
07/08/2024,PA004,Perth,London,Economy,2025.0,No,3,Vegan
05/12/2024,PA007,New York,Perth,First Class,523.0,No,3,
29/11/2024,PA010,Tokyo,New York,Business Class,325.2,No,0,Vegan
30/05/2024,PA003,London,Perth,Business Class,828.0,No,0,Vegetarian
06/03/2024,PA010,Tokyo,New York,First Class,563.0,No,3,Dairy Free
21/04/2024,PA001,London,New York,First Class,202.0,No,2,Nut Free
07/08/2024,PA006,Tokyo,London,First Class,468.0,No,3,Egg Free
05/05/2024,PA002,New York,London,Premium Economy,850.0,No,3,Vegan
10/06/2024,PA004,Perth,London,Economy,1710.0,No,0,Vegetarian
11/05/2024,PA009,New York,Tokyo,Premium Economy,1497.5,No,3,Vegan
21/11/2024,PA007,New York,Perth,Business Class,715.2,No,3,Egg Free
12/06/2024,PA007,New York,Perth,Premium Economy,817.5,No,3,Dairy Free
14/10/2024,PA005,London,Tokyo,Economy,1490.0,No,1,Vegan
31/03/2024,PA010,Tokyo,New York,Premium Economy,1282.5,No,3,Nut Free
14/02/2024,PA009,New York,Tokyo,First Class,473.0,No,1,Egg Free
04/09/2024,PA012,Tokyo,Perth,Premium Economy,1177.5,No,1,Dairy Free
29/06/2024,PA005,London,Tokyo,Business Class,639.6,No,3,Egg Free
18/06/2024,PA004,Perth,London,First Class,443.0,No,0,Dairy Free
04/08/2024,PA006,Tokyo,London,Business Class,832.8,No,2,Nut Free
03/08/2024,PA005,London,Tokyo,First Class,590.0,No,0,Nut Free
02/03/2024,PA003,London,Perth,Business Class,439.2,No,1,Dairy Free
07/07/2024,PA004,Perth,London,Business Class,242.4,No,0,Nut Free
18/10/2024,PA010,Tokyo,New York,Premium Economy,1642.5,No,0,Nut Free
10/07/2024,PA012,Tokyo,Perth,First Class,287.0,No,1,Nut Free
15/06/2024,PA009,New York,Tokyo,First Class,500.0,No,3,Vegetarian
02/03/2024,PA006,Tokyo,London,Economy,3070.0,No,3,Egg Free
17/03/2024,PA012,Tokyo,Perth,Premium Economy,587.5,No,3,Vegetarian
