Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
22/07/2024,PA010,Tokyo,New York,Economy,2380.0,Yes,0,Egg Free
20/04/2024,PA002,New York,London,Economy,3490.0,Yes,1,Vegan
23/01/2024,PA010,Tokyo,New York,Premium Economy,825.0,Yes,1,Vegetarian
05/06/2024,PA006,Tokyo,London,First Class,618.0,Yes,3,Vegan
30/03/2024,PA004,Perth,London,First Class,446.0,Yes,1,Nut Free
14/06/2024,PA006,Tokyo,London,Premium Economy,1062.5,Yes,3,Egg Free
15/07/2024,PA006,Tokyo,London,First Class,499.0,Yes,1,Egg Free
25/02/2024,PA004,Perth,London,Premium Economy,827.5,Yes,0,Vegetarian
26/07/2024,PA004,Perth,London,Economy,2245.0,Yes,1,Vegan
10/12/2024,PA004,Perth,London,Business Class,391.2,Yes,2,Vegetarian
23/09/2024,PA005,London,Tokyo,First Class,626.0,Yes,2,Vegetarian
04/06/2024,PA006,Tokyo,London,First Class,537.0,Yes,2,Dairy Free
16/04/2024,PA008,Perth,New York,First Class,216.0,Yes,0,Vegan
21/06/2024,PA004,Perth,London,Business Class,646.8,Yes,3,
20/10/2024,PA003,London,Perth,Economy,2215.0,Yes,3,Nut Free
17/02/2024,PA003,London,Perth,Business Class,784.8,Yes,3,Vegan
28/05/2024,PA005,London,Tokyo,Economy,1505.0,Yes,2,Dairy Free
19/06/2024,PA003,London,Perth,First Class,454.0,Yes,1,Dairy Free
11/02/2024,PA012,Tokyo,Perth,Premium Economy,1142.5,Yes,3,Vegan
17/01/2024,PA006,Tokyo,London,Business Class,712.8,Yes,3,Vegetarian
08/04/2024,PA003,London,Perth,First Class,525.0,Yes,2,Dairy Free
12/04/2024,PA007,New York,Perth,First Class,696.0,Yes,1,Vegetarian
03/09/2024,PA004,Perth,London,Economy,3445.0,Yes,0,Vegetarian
02/11/2024,PA008,Perth,New York,First Class,242.0,Yes,2,Egg Free
11/01/2024,PA002,New York,London,First Class,406.0,Yes,3,Vegan
07/08/2024,PA005,London,Tokyo,Business Class,739.2,Yes,0,Nut Free
25/02/2024,PA010,Tokyo,New York,Economy,1495.0,Yes,3,Egg Free
04/12/2024,PA003,London,Perth,Economy,2820.0,Yes,0,Vegetarian
13/02/2024,PA005,London,Tokyo,First Class,693.0,Yes,2,
23/03/2024,PA005,London,Tokyo,Economy,3375.0,Yes,2,
09/10/2024,PA012,Tokyo,Perth,Economy,1340.0,Yes,2,Nut Free
05/07/2024,PA005,London,Tokyo,Premium Economy,1677.5,Yes,3,Dairy Free
09/06/2024,PA003,London,Perth,Business Class,432.0,Yes,1,Vegan
16/04/2024,PA010,Tokyo,New York,Economy,3105.0,Yes,1,Dairy Free
19/08/2024,PA001,London,New York,Economy,2550.0,Yes,3,Dairy Free
16/07/2024,PA003,London,Perth,First Class,284.0,Yes,3,Nut Free
31/05/2024,PA009,New York,Tokyo,Economy,2450.0,Yes,3,
25/07/2024,PA007,New York,Perth,Business Class,573.6,Yes,1,Vegan
21/11/2024,PA006,Tokyo,London,Economy,2270.0,Yes,2,Dairy Free
28/07/2024,PA010,Tokyo,New York,Premium Economy,1020.0,Yes,0,Nut Free
16/08/2024,PA007,New York,Perth,Premium Economy,1665.0,Yes,3,Egg Free
18/03/2024,PA003,London,Perth,Business Class,615.6,Yes,3,Nut Free
21/09/2024,PA002,New York,London,Premium Economy,1175.0,Yes,0,Vegan
05/07/2024,PA001,London,New York,Premium Economy,850.0,Yes,0,Egg Free
20/08/2024,PA010,Tokyo,New York,Premium Economy,1365.0,Yes,0,Egg Free
15/10/2024,PA008,Perth,New York,Business Class,386.4,Yes,3,Egg Free
12/12/2024,PA010,Tokyo,New York,Business Class,793.2,Yes,1,
14/02/2024,PA006,Tokyo,London,Business Class,270.0,Yes,0,Dairy Free
23/11/2024,PA003,London,Perth,Business Class,538.8,Yes,1,Vegetarian
14/02/2024,PA002,New York,London,First Class,296.0,Yes,0,Vegetarian
17/05/2024,PA003,London,Perth,Business Class,379.2,Yes,3,Nut Free
02/06/2024,PA007,New York,Perth,First Class,612.0,Yes,0,Nut Free
23/07/2024,PA005,London,Tokyo,Premium Economy,1015.0,Yes,3,Nut Free
21/08/2024,PA012,Tokyo,Perth,Business Class,572.4,Yes,0,
17/03/2024,PA005,London,Tokyo,Economy,2380.0,Yes,1,Egg Free
27/11/2024,PA007,New York,Perth,Premium Economy,692.5,Yes,0,Nut Free
25/07/2024,PA009,New York,Tokyo,Business Class,734.4,Yes,2,Vegetarian
13/05/2024,PA006,Tokyo,London,Premium Economy,1520.0,Yes,3,Vegetarian
28/09/2024,PA011,Perth,Tokyo,Premium Economy,1397.5,Yes,2,Dairy Free
14/06/2024,PA009,New York,Tokyo,First Class,383.0,Yes,0,Dairy Free
08/06/2024,PA007,New York,Perth,Economy,2825.0,Yes,2,Vegetarian
09/01/2024,PA002,New York,London,First Class,342.0,Yes,2,Dairy Free
22/11/2024,PA003,London,Perth,Economy,2245.0,Yes,1,
04/09/2024,PA002,New York,London,Premium Economy,1387.5,Yes,2,Vegetarian
19/09/2024,PA009,New York,Tokyo,Premium Economy,675.0,Yes,2,Egg Free
27/02/2024,PA004,Perth,London,First Class,535.0,Yes,3,Dairy Free
19/10/2024,PA001,London,New York,Premium Economy,545.0,Yes,0,Nut Free
26/03/2024,PA012,Tokyo,Perth,First Class,566.0,Yes,0,Dairy Free
27/09/2024,PA002,New York,London,Premium Economy,625.0,Yes,2,Dairy Free
11/05/2024,PA006,Tokyo,London,First Class,208.0,Yes,0,
25/06/2024,PA012,Tokyo,Perth,Economy,2080.0,Yes,0,Vegetarian
03/08/2024,PA002,New York,London,First Class,284.0,Yes,0,
27/04/2024,PA011,Perth,Tokyo,Economy,3245.0,Yes,3,Vegetarian
09/04/2024,PA006,Tokyo,London,Premium Economy,710.0,Yes,2,Egg Free
19/11/2024,PA003,London,Perth,Premium Economy,1357.5,Yes,3,Vegan
24/06/2024,PA006,Tokyo,London,First Class,245.0,Yes,1,Nut Free
12/02/2024,PA011,Perth,Tokyo,Business Class,505.2,Yes,1,Vegetarian
04/03/2024,PA008,Perth,New York,Business Class,538.8,Yes,0,Egg Free
15/12/2024,PA009,New York,Tokyo,Economy,1310.0,Yes,0,Egg Free
25/09/2024,PA008,Perth,New York,First Class,642.0,Yes,3,Vegan
23/02/2024,PA002,New York,London,Premium Economy,547.5,Yes,2,Nut Free
27/01/2024,PA004,Perth,London,Premium Economy,1147.5,Yes,2,Nut Free
20/06/2024,PA008,Perth,New York,First Class,217.0,Yes,2,Egg Free
14/10/2024,PA011,Perth,Tokyo,Economy,2180.0,Yes,1,Nut Free
01/04/2024,PA004,Perth,London,Business Class,261.6,Yes,0,Dairy Free
04/08/2024,PA011,Perth,Tokyo,Economy,1005.0,Yes,1,Dairy Free
09/04/2024,PA007,New York,Perth,Premium Economy,842.5,Yes,3,Egg Free
18/08/2024,PA002,New York,London,Premium Economy,1360.0,Yes,0,
17/04/2024,PA002,New York,London,Economy,1630.0,Yes,1,Vegan
15/01/2024,PA004,Perth,London,Premium Economy,1472.5,Yes,0,Nut Free
10/02/2024,PA009,New York,Tokyo,First Class,368.0,Yes,3,Vegan
02/06/2024,PA006,Tokyo,London,Premium Economy,1735.0,Yes,3,Vegan
06/10/2024,PA010,Tokyo,New York,Premium Economy,992.5,Yes,3,Vegan
03/06/2024,PA011,Perth,Tokyo,First Class,201.0,Yes,1,Vegetarian
10/12/2024,PA002,New York,London,Economy,3030.0,Yes,2,Dairy Free
21/12/2024,PA001,London,New York,Business Class,655.2,Yes,2,
10/09/2024,PA011,Perth,Tokyo,Business Class,306.0,Yes,0,Dairy Free
12/03/2024,PA006,Tokyo,London,Economy,3010.0,Yes,3,Egg Free
17/10/2024,PA005,London,Tokyo,First Class,228.0,Yes,1,
24/08/2024,PA003,London,Perth,Economy,1780.0,Yes,3,Dairy Free
11/12/2024,PA004,Perth,London,First Class,595.0,Yes,2,Vegan
01/08/2024,PA003,London,Perth,Economy,2170.0,Yes,3,Nut Free
31/07/2024,PA010,Tokyo,New York,Premium Economy,1412.5,Yes,0,Vegan
08/10/2024,PA008,Perth,New York,Business Class,249.6,Yes,2,Nut Free
12/12/2024,PA010,Tokyo,New York,Premium Economy,1437.5,Yes,1,Egg Free
14/10/2024,PA009,New York,Tokyo,Economy,1360.0,Yes,1,Dairy Free
25/10/2024,PA008,Perth,New York,First Class,575.0,Yes,0,Nut Free
07/08/2024,PA002,New York,London,Premium Economy,832.5,Yes,0,
04/12/2024,PA004,Perth,London,Economy,2540.0,Yes,3,Vegan
28/07/2024,PA005,London,Tokyo,First Class,263.0,Yes,2,
12/03/2024,PA007,New York,Perth,Economy,2640.0,Yes,0,Vegan
11/05/2024,PA003,London,Perth,Economy,2885.0,Yes,3,Vegetarian
05/12/2024,PA008,Perth,New York,Economy,2200.0,Yes,1,Nut Free
13/03/2024,PA001,London,New York,Premium Economy,1422.5,Yes,0,Dairy Free
05/12/2024,PA012,Tokyo,Perth,Economy,2230.0,Yes,3,
21/08/2024,PA008,Perth,New York,First Class,300.0,Yes,0,Vegan
31/10/2024,PA010,Tokyo,New York,Premium Economy,780.0,Yes,2,
01/11/2024,PA009,New York,Tokyo,Premium Economy,1585.0,Yes,1,Dairy Free
04/06/2024,PA010,Tokyo,New York,First Class,389.0,Yes,1,Egg Free
12/06/2024,PA012,Tokyo,Perth,Business Class,318.0,Yes,1,Nut Free
13/08/2024,PA011,Perth,Tokyo,Economy,1165.0,Yes,0,
03/02/2024,PA003,London,Perth,Premium Economy,1095.0,Yes,3,
20/08/2024,PA005,London,Tokyo,Premium Economy,1632.5,Yes,2,Vegan
20/01/2024,PA004,Perth,London,First Class,440.0,Yes,3,Dairy Free
04/05/2024,PA007,New York,Perth,Premium Economy,1680.0,Yes,1,Nut Free
03/01/2024,PA006,Tokyo,London,Economy,1280.0,Yes,1,Dairy Free
11/04/2024,PA008,Perth,New York,First Class,676.0,Yes,1,Egg Free
21/03/2024,PA004,Perth,London,Business Class,836.4,Yes,1,Egg Free
09/10/2024,PA011,Perth,Tokyo,Economy,3065.0,Yes,3,Dairy Free
31/05/2024,PA007,New York,Perth,Premium Economy,725.0,Yes,3,Dairy Free
19/05/2024,PA005,London,Tokyo,Business Class,424.8,Yes,2,Nut Free
25/01/2024,PA012,Tokyo,Perth,Business Class,358.8,Yes,0,
02/01/2024,PA003,London,Perth,Premium Economy,1200.0,Yes,3,Dairy Free
15/05/2024,PA008,Perth,New York,Business Class,427.2,Yes,0,Vegan
24/04/2024,PA010,Tokyo,New York,Economy,2130.0,Yes,0,Dairy Free
28/04/2024,PA002,New York,London,Business Class,241.2,Yes,2,Vegetarian
13/12/2024,PA003,London,Perth,Premium Economy,505.0,Yes,2,
20/10/2024,PA011,Perth,Tokyo,First Class,385.0,Yes,2,Dairy Free
27/08/2024,PA002,New York,London,First Class,573.0,Yes,1,Vegan
12/11/2024,PA003,London,Perth,Economy,2190.0,Yes,3,Vegetarian
23/07/2024,PA009,New York,Tokyo,Business Class,339.6,Yes,1,Vegetarian
22/02/2024,PA005,London,Tokyo,Business Class,468.0,Yes,1,
18/09/2024,PA001,London,New York,Economy,1020.0,Yes,0,Vegetarian
06/12/2024,PA011,Perth,Tokyo,Business Class,601.2,Yes,3,Dairy Free
10/10/2024,PA001,London,New York,Economy,3035.0,Yes,3,Vegetarian
14/12/2024,PA007,New York,Perth,Premium Economy,1305.0,Yes,2,Nut Free
07/11/2024,PA006,Tokyo,London,First Class,252.0,Yes,0,
21/03/2024,PA003,London,Perth,Business Class,272.4,Yes,2,Nut Free
26/02/2024,PA009,New York,Tokyo,Premium Economy,1085.0,Yes,2,Vegan
31/07/2024,PA012,Tokyo,Perth,Premium Economy,817.5,Yes,1,Egg Free
20/01/2024,PA008,Perth,New York,Economy,2330.0,Yes,1,Egg Free
26/08/2024,PA007,New York,Perth,Economy,2235.0,Yes,1,
05/04/2024,PA005,London,Tokyo,Economy,3005.0,Yes,0,
05/01/2024,PA010,Tokyo,New York,First Class,681.0,Yes,0,
02/03/2024,PA006,Tokyo,London,Business Class,558.0,Yes,2,Vegetarian
06/03/2024,PA009,New York,Tokyo,Economy,1840.0,Yes,3,Vegetarian
16/04/2024,PA012,Tokyo,Perth,First Class,506.0,Yes,2,Nut Free
29/05/2024,PA007,New York,Perth,Business Class,240.0,Yes,1,Vegetarian
04/01/2024,PA002,New York,London,Premium Economy,1635.0,Yes,2,Egg Free
07/07/2024,PA011,Perth,Tokyo,Economy,2590.0,Yes,1,Vegetarian
06/10/2024,PA003,London,Perth,Business Class,783.6,Yes,2,Vegan
03/05/2024,PA001,London,New York,Economy,3160.0,Yes,2,
09/08/2024,PA011,Perth,Tokyo,First Class,512.0,Yes,0,Egg Free
27/10/2024,PA010,Tokyo,New York,Economy,1715.0,Yes,0,Nut Free
10/06/2024,PA009,New York,Tokyo,First Class,517.0,Yes,2,Vegan
